uid,date,traj_site,traj_arr
6,2013-01-09,"(1092, 781, 719, 709)","(70, 73)"
6,2013-01-10,"(362, 369, 256, 141, 174, 256, 174, 187)","(6, 7, 3)"
6,2013-01-11,"(205, 174, 187, 256)","(3,)"
6,2013-01-12,"(434, 419, 423, 419)","(9, 7)"
6,2013-01-13,"(434, 423, 419, 423, 419, 423, 419, 423)","(9, 7)"
6,2013-01-14,"(434, 179, 202, 179, 202, 179)","(9, 4)"
6,2013-01-15,"(179, 202, 228, 202, 179, 202, 219, 228, 202, 179, 256, 301, 475, 480, 538, 533, 503, 529, 559, 566)","(4, 3, 6, 10, 19, 11, 20, 19)"
6,2013-01-16,"(1092,)","(70,)"
6,2013-01-17,"(1092,)","(70,)"
6,2013-01-18,"(1092, 1091)","(70,)"
6,2013-01-19,"(1092,)","(70,)"
6,2013-01-20,"(1092,)","(70,)"
8,2013-01-07,"(232, 155, 140, 155, 140)","(3, 4)"
8,2013-01-08,"(161, 155)","(4,)"
8,2013-01-09,"(155,)","(4,)"
8,2013-01-11,"(155,)","(4,)"
8,2013-01-13,"(155,)","(4,)"
8,2013-01-14,"(177, 155)","(4,)"
8,2013-01-17,"(205, 155)","(3, 4)"
8,2013-01-18,"(155,)","(4,)"
8,2013-01-19,"(155,)","(4,)"
8,2013-01-20,"(163, 185, 155)","(4,)"
17,2013-01-07,"(171, 159, 141, 171, 168)","(3,)"
17,2013-01-08,"(159, 141)","(3,)"
17,2013-01-09,"(171,)","(3,)"
17,2013-01-13,"(168, 171, 168)","(3,)"
17,2013-01-14,"(640,)","(14,)"
17,2013-01-15,"(670, 646, 664)","(30, 14, 29)"
17,2013-01-16,"(646,)","(14,)"
17,2013-01-17,"(419,)","(7,)"
17,2013-01-18,"(141,)","(3,)"
17,2013-01-20,"(168,)","(3,)"
21,2013-01-07,"(751, 749, 751, 245, 189, 180, 182)","(33, 3, 1)"
21,2013-01-08,"(189, 271, 207, 189, 180, 189)","(1, 4, 1)"
21,2013-01-09,"(687, 751)","(33,)"
21,2013-01-10,"(749,)","(33,)"
21,2013-01-11,"(749, 751)","(33,)"
21,2013-01-13,"(749, 751)","(33,)"
21,2013-01-14,"(751, 749)","(33,)"
21,2013-01-15,"(749, 751)","(33,)"
21,2013-01-17,"(749,)","(33,)"
21,2013-01-19,"(751,)","(33,)"
21,2013-01-20,"(749, 751)","(33,)"
28,2013-01-07,"(15,)","(2,)"
28,2013-01-08,"(15, 12)","(2,)"
28,2013-01-09,"(15, 12, 15, 12, 15)","(2,)"
28,2013-01-10,"(12, 15)","(2,)"
28,2013-01-11,"(12, 15, 12, 15, 12, 15, 12)","(2,)"
28,2013-01-12,"(12, 15, 12, 173, 278, 15)","(2, 1, 3, 2)"
28,2013-01-13,"(15,)","(2,)"
28,2013-01-14,"(12, 278)","(2, 3)"
28,2013-01-16,"(15,)","(2,)"
28,2013-01-17,"(12,)","(2,)"
28,2013-01-18,"(15, 12)","(2,)"
28,2013-01-19,"(50, 210, 15, 12, 15)","(2, 3, 2)"
28,2013-01-20,"(12,)","(2,)"
29,2013-01-07,"(121, 97, 121, 182)","(1,)"
29,2013-01-09,"(182, 173, 182)","(1,)"
29,2013-01-11,"(182, 121, 167, 173, 138)","(1,)"
29,2013-01-12,"(182, 138, 182)","(1,)"
29,2013-01-13,"(31, 50, 31, 50)","(2,)"
29,2013-01-14,"(138, 182, 97, 164, 213, 138, 182, 164, 138)","(1,)"
29,2013-01-15,"(30, 19, 182, 138)","(2, 1)"
29,2013-01-16,"(213, 138, 182, 138, 97, 138, 182, 138, 143, 182, 138, 182, 138)","(1,)"
29,2013-01-17,"(173, 182)","(1,)"
29,2013-01-18,"(182, 138, 100, 92, 117)","(1, 3)"
29,2013-01-19,"(30, 134, 173, 182)","(2, 1)"
29,2013-01-20,"(15, 50, 83)","(2,)"
30,2013-01-07,"(297,)","(6,)"
30,2013-01-09,"(273,)","(3,)"
30,2013-01-10,"(297, 295, 281)","(6, 3)"
30,2013-01-11,"(297, 218, 263, 251)","(6, 1)"
30,2013-01-12,"(297, 181, 229, 215, 240, 264)","(6, 3, 1)"
30,2013-01-13,"(281, 285, 256, 284, 281, 297, 301, 297, 292, 281)","(3, 6, 5, 3)"
30,2013-01-14,"(281,)","(3,)"
30,2013-01-15,"(297, 273)","(6, 3)"
30,2013-01-16,"(281, 297, 281, 285, 297)","(3, 6, 3, 6)"
30,2013-01-17,"(273, 515, 297, 281, 244, 285)","(3, 12, 6, 3)"
30,2013-01-18,"(285, 515, 295, 297)","(3, 12, 6)"
30,2013-01-19,"(295, 281, 285, 284, 262, 273, 281)","(6, 3)"
30,2013-01-20,"(291, 297, 292, 297, 292, 240, 297, 423, 429, 281, 285, 281, 273)","(3, 6, 5, 6, 5, 1, 6, 7, 3)"
34,2013-01-07,"(296, 279, 296)","(5, 1, 5)"
34,2013-01-08,"(296, 298, 296, 288)","(5,)"
34,2013-01-09,"(72, 296)","(3, 5)"
34,2013-01-10,"(296, 298, 296)","(5,)"
34,2013-01-11,"(296, 272)","(5, 1)"
34,2013-01-12,"(279, 288, 296, 330, 376, 119, 138, 119, 296)","(1, 5, 1, 5)"
34,2013-01-13,"(296, 272, 296)","(5, 1, 5)"
34,2013-01-14,"(264, 240)","(1,)"
34,2013-01-15,"(143, 296)","(1, 5)"
34,2013-01-16,"(296, 96)","(5, 2)"
34,2013-01-17,"(296, 331, 290, 100, 259, 296)","(5, 1, 3, 1, 5)"
34,2013-01-18,"(296, 203, 72, 296)","(5, 1, 3, 5)"
